Access point ID,
32:07:4D:9F:30:C3,
34:A8:4E:E6:51:10,
34:A8:4E:E6:51:11,
34:A8:4E:E6:51:12,
34:A8:4E:E6:51:13,
3C:37:86:51:36:29,
5E:EA:1D:9F:FC:E0,
60:F4:45:E9:C9:6A,
8A:15:04:B2:55:F0,
8A:15:04:B2:55:F1,
8A:15:04:B2:55:F2,
8A:15:04:B2:55:F3,
8A:15:04:B2:55:FF,
8A:15:04:B2:5D:80,
8A:15:04:B2:5D:81,
8A:15:04:B2:5D:82,
8A:15:04:B2:5D:83,
8A:15:04:B2:5D:8F,
8A:15:04:B2:60:30,
8A:15:04:B2:60:31,
8A:15:04:B2:60:32,
8A:15:04:B2:60:33,
8A:15:04:B2:60:3F,
8A:15:04:EE:BB:A0,
8A:15:04:EE:BB:A1,
8A:15:04:EE:BB:A2,
8A:15:04:EE:BB:A3,
8A:15:04:EE:BB:AF,
96:57:A5:80:20:CB,
9E:7B:EF:87:E4:8E,
9E:93:4E:3A:A8:68,
DE:EF:CA:40:13:1C,
FA:8F:CA:7C:7B:D8